FECHA;LOCAL;VISITA;RESULTADO
19;U. Espanola; U. de Chile;LW
19;U. La Calera; U. Catolica;AW
20;Antofagasta; U. La Calera;D
20;A. Italiano; Palestino;AW
20;D. Iquique; Colo Colo;LW
20;Everton Vina; Huachipato;AW
20;CD San Luis; U. Espanola;AW
20;U. Catolica; Curico Unido;LW
20;U. de Chile; O Higgins;LW
20;U. de Conce; Deportes Temuco;LW
21;A. Italiano; U. Catolica;AW
21;Colo Colo; U. de Chile;AW
21;Curico Unido; U. de Conce;LW
21;Deportes Temuco; Everton Vina;D
21;Huachipato; Antofagasta;LW
21;O Higgins; U. Espanola;AW
21;Palestino; CD San Luis;LW
21;U. La Calera; D. Iquique;D
22;Antofagasta; Palestino;LW
22;D. Iquique; O Higgins;D
22;Everton Vina; Colo Colo;AW
22;Huachipato; Curico Unido;LW
22;CD San Luis; A. Italiano;LW
22;U. de Chile; Deportes Temuco;AW
22;U. de Conce; U. La Calera;LW
22;U. Espanola; U. Catolica;AW
23;A. Italiano; D. Iquique;AW
23;Colo Colo; Antofagasta;D
23;Curico Unido; O Higgins;AW
23;Deportes Temuco; Huachipato;AW
23;Palestino; U. Espanola;D
23;U. Catolica; CD San Luis;AW
23;U. de Conce; U. de Chile;AW
23;U. La Calera; Everton Vina;AW
24;Antofagasta; U. de Conce;D
24;D. Iquique; Deportes Temuco;D
24;Everton Vina; A. Italiano;D
24;O Higgins; Palestino;LW
24;CD San Luis; Huachipato;D
24;U. Catolica; Colo Colo;LW
24;U. de Chile; U. La Calera;AW
24;U. Espanola; Curico Unido;LW
25;A. Italiano; U. La Calera;LW
25;Colo Colo; U. Espanola;AW
25;Curico Unido; Everton Vina;D
25;Deportes Temuco; O Higgins;D
