Jornada 10 20 - 22 Abr,O´Higgins,2 , 2,Curicó Unido
Jornada 10 20 - 22 Abr,U. Católica,1 , 0,A. Italiano
Jornada 10 20 - 22 Abr,U. de Conce,2 , 0,Everton Viña
Jornada 10 20 - 22 Abr,U. La Calera,6 , 1,U. de Chile
Jornada 10 20 - 22 Abr,Antofagasta,1 , 0,CD San Luis
Jornada 11 28 - 29 Abr,Curicó Unido,0 , 0,Colo Colo
Jornada 11 28 - 29 Abr,Everton Viña,1 , 1,U. Española
Jornada 11 28 - 29 Abr,Huachipato,2 , 2,D. Iquique
Jornada 11 28 - 29 Abr,A. Italiano,0 , 0,Antofagasta
Jornada 11 28 - 29 Abr,Deportes Temuco,0 , 2,U. La Calera
Jornada 11 28 - 29 Abr,Palestino,2 , 3,O´Higgins
Jornada 11 28 - 29 Abr,U. de Chile,1 , 2,U. de Conce
Jornada 11 28 - 29 Abr,CD San Luis,1 , 1,U. Católica
Jornada 12 04 - 06 May,Antofagasta,3 , 2,Deportes Temuco
Jornada 12 04 - 06 May,D. Iquique,2 , 2,Curicó Unido
Jornada 12 04 - 06 May,U. Española,4 , 0,CD San Luis
Jornada 12 04 - 06 May,U. La Calera,1 , 0,A. Italiano
Jornada 12 04 - 06 May,Colo Colo,3 , 1,Everton Viña
Jornada 12 04 - 06 May,O´Higgins,0 , 1,U. de Chile
Jornada 12 04 - 06 May,Palestino,1 , 2,U. de Conce
Jornada 12 04 - 06 May,U. Católica,3 , 1,Huachipato
Jornada 13 11 - 13 May,Colo Colo,0 , 0,D. Iquique
Jornada 13 11 - 13 May,Huachipato,1 , 1,Palestino
Jornada 13 11 - 13 May,CD San Luis,1 , 2,U. La Calera
Jornada 13 11 - 13 May,A. Italiano,1 , 2,O´Higgins
Jornada 13 11 - 13 May,Deportes Temuco,2 , 0,U. Española
Jornada 13 11 - 13 May,Everton Viña,1 , 1,Curicó Unido
Jornada 13 11 - 13 May,U. Católica,1 , 1,U. de Chile
Jornada 13 11 - 13 May,U. de Conce,3 , 2,Antofagasta
Jornada 14 18 - 21 May,D. Iquique,1 , 1,A. Italiano
Jornada 14 18 - 21 May,U. de Chile,1 , 2,Palestino
Jornada 14 18 - 21 May,U. Española,3 , 2,Colo Colo
Jornada 14 18 - 21 May,U. La Calera,4 , 0,O´Higgins
Jornada 14 18 - 21 May,Antofagasta,3 , 2,Everton Viña
Jornada 14 18 - 21 May,U. de Conce,0 , 0,U. Católica
Jornada 14 18 - 21 May,Curicó Unido,2 , 1,Huachipato
Jornada 14 18 - 21 May,Deportes Temuco,2 , 2,CD San Luis
Jornada 15 26 - 28 May,Huachipato,0 , 1,U. de Chile
Jornada 15 26 - 28 May,O´Higgins,2 , 1,D. Iquique
Jornada 15 26 - 28 May,CD San Luis,0 , 3,U. de Conce
Jornada 15 26 - 28 May,A. Italiano,1 , 1,U. Española
Jornada 15 26 - 28 May,Everton Viña,2 , 2,Deportes Temuco
Jornada 15 26 - 28 May,Palestino,2 , 1,Curicó Unido
Jornada 15 26 - 28 May,U. Católica,0 , 0,Antofagasta
Jornada 15 26 - 28 May,Colo Colo,0 , 2,U. La Calera
